customer_id,customer_name,action,reason,priority,expected_value
14828,Customer 14828,Retention outreach,No purchase for 197 days,High,3314.88
12758,Customer 12758,Retention outreach,No purchase for 117 days,High,3309.28
12688,Customer 12688,Retention outreach,No purchase for 114 days,High,3295.18
13715,Customer 13715,Retention outreach,No purchase for 281 days,High,3278.41
16550,Customer 16550,Retention outreach,No purchase for 109 days,High,3157.13
15332,Customer 15332,Retention outreach,No purchase for 366 days,High,3148.67
16546,Customer 16546,Retention outreach,No purchase for 291 days,High,3125.26
13162,Customer 13162,Retention outreach,No purchase for 122 days,High,3112.14
15260,Customer 15260,Retention outreach,No purchase for 100 days,High,3091.26
12755,Customer 12755,Retention outreach,No purchase for 281 days,High,3021.78
15379,Customer 15379,Retention outreach,No purchase for 169 days,High,3003.89
14160,Customer 14160,Retention outreach,No purchase for 610 days,High,2975.17
17722,Customer 17722,Retention outreach,No purchase for 96 days,High,2909.72
13869,Customer 13869,Retention outreach,No purchase for 123 days,High,2894.67
13206,Customer 13206,Retention outreach,No purchase for 400 days,High,2822.29
12967,Customer 12967,Retention outreach,No purchase for 358 days,High,2769.72
13734,Customer 13734,Retention outreach,No purchase for 509 days,High,2744.51
16456,Customer 16456,Retention outreach,No purchase for 99 days,High,2729.09
17085,Customer 17085,Retention outreach,No purchase for 123 days,High,2654.97
16919,Customer 16919,Retention outreach,No purchase for 156 days,High,2648.16
17409,Customer 17409,Retention outreach,No purchase for 185 days,High,2640.01
14855,Customer 14855,Retention outreach,No purchase for 119 days,High,2635.28
18073,Customer 18073,Retention outreach,No purchase for 114 days,High,2621.59
15581,Customer 15581,Retention outreach,No purchase for 121 days,High,2608.18
13082,Customer 13082,Retention outreach,No purchase for 126 days,High,2523.02
12502,Customer 12502,Retention outreach,No purchase for 96 days,High,2517.7
14364,Customer 14364,Retention outreach,No purchase for 109 days,High,2513.3
17204,Customer 17204,Retention outreach,No purchase for 175 days,High,2480.58
17308,Customer 17308,Retention outreach,No purchase for 393 days,High,2459.51
18231,Customer 18231,Retention outreach,No purchase for 192 days,High,2430.93
14918,Customer 14918,Retention outreach,No purchase for 116 days,High,2407.13
14461,Customer 14461,Retention outreach,No purchase for 148 days,High,2399.23
12378,Customer 12378,Retention outreach,No purchase for 130 days,High,2375.73
13935,Customer 13935,Retention outreach,No purchase for 597 days,High,2313.24
14154,Customer 14154,Retention outreach,No purchase for 239 days,High,2292.3
15480,Customer 15480,Retention outreach,No purchase for 116 days,High,2290.35
18178,Customer 18178,Retention outreach,No purchase for 129 days,High,2283.77
13615,Customer 13615,Retention outreach,No purchase for 319 days,High,2274.55
15413,Customer 15413,Retention outreach,No purchase for 692 days,High,2271.87
15372,Customer 15372,Retention outreach,No purchase for 137 days,High,2237.78
17723,Customer 17723,Retention outreach,No purchase for 127 days,High,2218.83
13722,Customer 13722,Retention outreach,No purchase for 132 days,High,2150.91
17146,Customer 17146,Retention outreach,No purchase for 106 days,High,2140.77
12625,Customer 12625,Retention outreach,No purchase for 212 days,High,2136.42
14930,Customer 14930,Retention outreach,No purchase for 109 days,High,2134.48
15369,Customer 15369,Retention outreach,No purchase for 492 days,High,2108.9
13593,Customer 13593,Retention outreach,No purchase for 108 days,High,2105.01
15491,Customer 15491,Retention outreach,No purchase for 95 days,High,2095.97
13631,Customer 13631,Retention outreach,No purchase for 100 days,High,2075.91
14210,Customer 14210,Retention outreach,No purchase for 106 days,High,2059.0
14105,Customer 14105,Retention outreach,No purchase for 239 days,High,2048.35
14249,Customer 14249,Retention outreach,No purchase for 411 days,High,2042.91
16320,Customer 16320,Retention outreach,No purchase for 172 days,High,2038.2
14459,Customer 14459,Retention outreach,No purchase for 155 days,High,2036.06
12754,Customer 12754,Retention outreach,No purchase for 236 days,High,2035.56
12835,Customer 12835,Retention outreach,No purchase for 428 days,High,2024.92
17457,Customer 17457,Retention outreach,No purchase for 127 days,High,2016.26
14565,Customer 14565,Retention outreach,No purchase for 96 days,High,2010.58
17444,Customer 17444,Retention outreach,No purchase for 148 days,High,1987.76
12653,Customer 12653,Retention outreach,No purchase for 149 days,High,1949.71
16072,Customer 16072,Retention outreach,No purchase for 288 days,High,1943.63
14442,Customer 14442,Retention outreach,No purchase for 205 days,High,1918.03
15245,Customer 15245,Retention outreach,No purchase for 134 days,High,1910.44
14566,Customer 14566,Retention outreach,No purchase for 111 days,High,1892.32
15235,Customer 15235,Retention outreach,No purchase for 218 days,High,1864.98
12669,Customer 12669,Retention outreach,No purchase for 151 days,High,1855.24
12737,Customer 12737,Retention outreach,No purchase for 499 days,High,1836.25
13659,Customer 13659,Retention outreach,No purchase for 206 days,High,1828.69
14081,Customer 14081,Retention outreach,No purchase for 302 days,High,1816.6
15641,Customer 15641,Retention outreach,No purchase for 105 days,High,1798.44
15122,Customer 15122,Retention outreach,No purchase for 114 days,High,1791.34
17829,Customer 17829,Retention outreach,No purchase for 299 days,High,1790.63
12422,Customer 12422,Retention outreach,No purchase for 96 days,High,1789.43
18093,Customer 18093,Retention outreach,No purchase for 93 days,High,1776.37
12511,Customer 12511,Retention outreach,No purchase for 429 days,High,1775.25
15812,Customer 15812,Retention outreach,No purchase for 107 days,High,1771.69
13931,Customer 13931,Retention outreach,No purchase for 96 days,High,1761.58
12510,Customer 12510,Retention outreach,No purchase for 143 days,High,1737.35
17787,Customer 17787,Retention outreach,No purchase for 153 days,High,1726.94
14025,Customer 14025,Retention outreach,No purchase for 465 days,High,1715.89
13044,Customer 13044,Retention outreach,No purchase for 291 days,High,1709.91
16244,Customer 16244,Retention outreach,No purchase for 212 days,High,1707.68
15002,Customer 15002,Retention outreach,No purchase for 116 days,High,1706.75
16045,Customer 16045,Retention outreach,No purchase for 120 days,High,1699.88
17050,Customer 17050,Retention outreach,No purchase for 96 days,High,1696.36
13135,Customer 13135,Retention outreach,No purchase for 197 days,High,1692.2
12916,Customer 12916,Retention outreach,No purchase for 139 days,High,1677.79
13851,Customer 13851,Retention outreach,No purchase for 96 days,High,1672.86
16503,Customer 16503,Retention outreach,No purchase for 107 days,High,1662.09
16118,Customer 16118,Retention outreach,No purchase for 653 days,High,1654.97
17406,Customer 17406,Retention outreach,No purchase for 333 days,High,1650.24
18064,Customer 18064,Retention outreach,No purchase for 133 days,High,1639.62
17138,Customer 17138,Retention outreach,No purchase for 276 days,High,1618.43
15704,Customer 15704,Retention outreach,No purchase for 140 days,High,1614.43
14875,Customer 14875,Retention outreach,No purchase for 108 days,High,1599.22
17400,Customer 17400,Retention outreach,No purchase for 126 days,High,1597.48
16858,Customer 16858,Retention outreach,No purchase for 369 days,High,1590.08
13958,Customer 13958,Retention outreach,No purchase for 380 days,High,1582.21
14414,Customer 14414,Retention outreach,No purchase for 92 days,High,1580.01
14740,Customer 14740,Retention outreach,No purchase for 197 days,High,1573.59
14685,Customer 14685,Retention outreach,No purchase for 576 days,High,1569.24
16125,Customer 16125,Retention outreach,No purchase for 367 days,High,1560.47
13205,Customer 13205,Retention outreach,No purchase for 443 days,High,1559.09
15665,Customer 15665,Retention outreach,No purchase for 168 days,High,1558.98
13707,Customer 13707,Retention outreach,No purchase for 267 days,High,1547.83
15596,Customer 15596,Retention outreach,No purchase for 101 days,High,1545.9
17508,Customer 17508,Retention outreach,No purchase for 281 days,High,1542.73
16812,Customer 16812,Retention outreach,No purchase for 361 days,High,1542.28
14648,Customer 14648,Retention outreach,No purchase for 416 days,High,1538.12
14625,Customer 14625,Retention outreach,No purchase for 196 days,High,1523.63
13031,Customer 13031,Retention outreach,No purchase for 407 days,High,1521.39
17553,Customer 17553,Retention outreach,No purchase for 130 days,High,1518.69
13357,Customer 13357,Retention outreach,No purchase for 257 days,High,1509.34
14410,Customer 14410,Retention outreach,No purchase for 92 days,High,1494.72
16749,Customer 16749,Retention outreach,No purchase for 591 days,High,1494.3
16083,Customer 16083,Retention outreach,No purchase for 101 days,High,1492.73
12840,Customer 12840,Retention outreach,No purchase for 144 days,High,1478.73
17597,Customer 17597,Retention outreach,No purchase for 214 days,High,1473.25
12917,Customer 12917,Retention outreach,No purchase for 128 days,High,1472.62
15625,Customer 15625,Retention outreach,No purchase for 104 days,High,1471.85
15633,Customer 15633,Retention outreach,No purchase for 509 days,High,1468.33
12501,Customer 12501,Retention outreach,No purchase for 337 days,High,1466.72
14407,Customer 14407,Retention outreach,No purchase for 107 days,High,1458.84
16636,Customer 16636,Retention outreach,No purchase for 438 days,High,1451.15
13425,Customer 13425,Retention outreach,No purchase for 108 days,High,1449.15
13446,Customer 13446,Retention outreach,No purchase for 430 days,High,1443.7
12377,Customer 12377,Retention outreach,No purchase for 315 days,High,1434.09
12853,Customer 12853,Retention outreach,No purchase for 135 days,High,1433.79
17307,Customer 17307,Retention outreach,No purchase for 395 days,High,1431.53
17646,Customer 17646,Retention outreach,No purchase for 219 days,High,1415.43
12469,Customer 12469,Retention outreach,No purchase for 523 days,High,1412.02
12868,Customer 12868,Retention outreach,No purchase for 186 days,High,1411.96
14465,Customer 14465,Retention outreach,No purchase for 247 days,High,1388.11
15649,Customer 15649,Retention outreach,No purchase for 336 days,High,1381.33
12585,Customer 12585,Retention outreach,No purchase for 234 days,High,1379.31
14770,Customer 14770,Retention outreach,No purchase for 232 days,High,1375.65
16336,Customer 16336,Retention outreach,No purchase for 421 days,High,1374.49
17083,Customer 17083,Retention outreach,No purchase for 109 days,High,1371.85
17337,Customer 17337,Retention outreach,No purchase for 151 days,High,1371.04
14532,Customer 14532,Retention outreach,No purchase for 236 days,High,1363.38
15569,Customer 15569,Retention outreach,No purchase for 104 days,High,1362.51
17692,Customer 17692,Retention outreach,No purchase for 127 days,High,1358.33
13542,Customer 13542,Retention outreach,No purchase for 377 days,High,1355.21
16698,Customer 16698,Retention outreach,No purchase for 227 days,High,1350.85
14817,Customer 14817,Retention outreach,No purchase for 200 days,High,1335.89
12857,Customer 12857,Retention outreach,No purchase for 211 days,High,1331.48
12623,Customer 12623,Retention outreach,No purchase for 276 days,High,1327.85
15823,Customer 15823,Retention outreach,No purchase for 372 days,High,1314.74
12468,Customer 12468,Retention outreach,No purchase for 188 days,High,1313.73
14344,Customer 14344,Retention outreach,No purchase for 127 days,High,1312.98
13037,Customer 13037,Retention outreach,No purchase for 138 days,High,1311.77
12770,Customer 12770,Retention outreach,No purchase for 211 days,High,1309.96
17931,Customer 17931,Retention outreach,No purchase for 134 days,High,1282.21
16772,Customer 16772,Retention outreach,No purchase for 423 days,High,1273.56
15079,Customer 15079,Retention outreach,No purchase for 213 days,High,1270.94
16065,Customer 16065,Retention outreach,No purchase for 365 days,High,1268.05
18168,Customer 18168,Retention outreach,No purchase for 176 days,High,1263.3
12947,Customer 12947,Retention outreach,No purchase for 144 days,High,1259.84
12385,Customer 12385,Retention outreach,No purchase for 379 days,High,1259.68
15934,Customer 15934,Retention outreach,No purchase for 418 days,High,1258.08
15817,Customer 15817,Retention outreach,No purchase for 421 days,High,1255.79
18239,Customer 18239,Retention outreach,No purchase for 219 days,High,1255.37
12383,Customer 12383,Retention outreach,No purchase for 185 days,High,1251.16
17876,Customer 17876,Retention outreach,No purchase for 400 days,High,1250.81
17732,Customer 17732,Retention outreach,No purchase for 373 days,High,1250.1
15538,Customer 15538,Retention outreach,No purchase for 538 days,High,1249.01
13501,Customer 13501,Retention outreach,No purchase for 288 days,High,1247.75
13214,Customer 13214,Retention outreach,No purchase for 418 days,High,1245.88
13963,Customer 13963,Retention outreach,No purchase for 308 days,High,1243.76
13929,Customer 13929,Retention outreach,No purchase for 169 days,High,1241.51
16067,Customer 16067,Retention outreach,No purchase for 563 days,High,1240.31
16152,Customer 16152,Retention outreach,No purchase for 269 days,High,1236.61
12872,Customer 12872,Retention outreach,No purchase for 327 days,High,1234.89
15476,Customer 15476,Retention outreach,No purchase for 380 days,High,1231.93
13291,Customer 13291,Retention outreach,No purchase for 156 days,High,1229.48
16718,Customer 16718,Retention outreach,No purchase for 369 days,High,1227.17
17774,Customer 17774,Retention outreach,No purchase for 97 days,High,1226.64
12592,Customer 12592,Retention outreach,No purchase for 92 days,High,1226.49
15481,Customer 15481,Retention outreach,No purchase for 401 days,High,1224.49
15222,Customer 15222,Retention outreach,No purchase for 319 days,High,1211.16
12806,Customer 12806,Retention outreach,No purchase for 435 days,High,1207.04
13052,Customer 13052,Retention outreach,No purchase for 212 days,High,1194.58
15985,Customer 15985,Retention outreach,No purchase for 123 days,High,1193.11
17353,Customer 17353,Retention outreach,No purchase for 129 days,High,1172.18
12976,Customer 12976,Retention outreach,No purchase for 212 days,High,1170.35
17145,Customer 17145,Retention outreach,No purchase for 513 days,High,1169.49
17152,Customer 17152,Retention outreach,No purchase for 195 days,High,1168.93
16499,Customer 16499,Retention outreach,No purchase for 360 days,High,1164.0
14758,Customer 14758,Retention outreach,No purchase for 145 days,High,1157.92
12405,Customer 12405,Retention outreach,No purchase for 149 days,High,1156.39
16214,Customer 16214,Retention outreach,No purchase for 171 days,High,1154.44
16902,Customer 16902,Retention outreach,No purchase for 116 days,High,1154.02
16398,Customer 16398,Retention outreach,No purchase for 154 days,High,1153.29
14346,Customer 14346,Retention outreach,No purchase for 121 days,High,1148.32
12764,Customer 12764,Retention outreach,No purchase for 317 days,High,1145.23
14245,Customer 14245,Retention outreach,No purchase for 220 days,High,1144.94
17588,Customer 17588,Retention outreach,No purchase for 100 days,High,1137.79
12725,Customer 12725,Retention outreach,No purchase for 371 days,High,1137.45
14935,Customer 14935,Retention outreach,No purchase for 297 days,High,1135.08
15095,Customer 15095,Retention outreach,No purchase for 104 days,High,1127.63
14161,Customer 14161,Retention outreach,No purchase for 216 days,High,1127.35
13848,Customer 13848,Retention outreach,No purchase for 92 days,High,1126.62
13786,Customer 13786,Retention outreach,No purchase for 367 days,High,1125.47
12424,Customer 12424,Retention outreach,No purchase for 163 days,High,1125.24
15265,Customer 15265,Retention outreach,No purchase for 151 days,High,1117.98
16351,Customer 16351,Retention outreach,No purchase for 333 days,High,1117.3
12982,Customer 12982,Retention outreach,No purchase for 243 days,High,1116.67
17897,Customer 17897,Retention outreach,No purchase for 173 days,High,1106.33
16889,Customer 16889,Retention outreach,No purchase for 195 days,High,1104.23
14127,Customer 14127,Retention outreach,No purchase for 123 days,High,1101.44
12687,Customer 12687,Retention outreach,No purchase for 481 days,High,1098.11
17126,Customer 17126,Retention outreach,No purchase for 152 days,High,1097.18
16801,Customer 16801,Retention outreach,No purchase for 163 days,High,1095.1
15057,Customer 15057,Retention outreach,No purchase for 275 days,High,1093.94
15182,Customer 15182,Retention outreach,No purchase for 154 days,High,1089.08
14669,Customer 14669,Retention outreach,No purchase for 242 days,High,1085.46
17585,Customer 17585,Retention outreach,No purchase for 109 days,High,1079.19
13850,Customer 13850,Retention outreach,No purchase for 129 days,High,1078.7
13799,Customer 13799,Retention outreach,No purchase for 117 days,High,1073.38
16692,Customer 16692,Retention outreach,No purchase for 256 days,High,1069.74
16276,Customer 16276,Retention outreach,No purchase for 177 days,High,1067.95
12671,Customer 12671,Retention outreach,No purchase for 606 days,High,1066.9
16400,Customer 16400,Retention outreach,No purchase for 95 days,High,1065.86
15353,Customer 15353,Retention outreach,No purchase for 255 days,High,1062.72
12802,Customer 12802,Retention outreach,No purchase for 187 days,High,1058.02
13330,Customer 13330,Retention outreach,No purchase for 93 days,High,1057.97
13814,Customer 13814,Retention outreach,No purchase for 92 days,High,1055.75
17282,Customer 17282,Retention outreach,No purchase for 130 days,High,1052.4
15614,Customer 15614,Retention outreach,No purchase for 438 days,High,1051.73
12818,Customer 12818,Retention outreach,No purchase for 262 days,High,1042.6
17242,Customer 17242,Retention outreach,No purchase for 108 days,High,1041.6
17320,Customer 17320,Retention outreach,No purchase for 100 days,High,1039.38
14496,Customer 14496,Retention outreach,No purchase for 312 days,High,1039.28
15629,Customer 15629,Retention outreach,No purchase for 450 days,High,1038.23
13253,Customer 13253,Retention outreach,No purchase for 157 days,High,1035.17
16010,Customer 16010,Retention outreach,No purchase for 246 days,High,1033.37
15716,Customer 15716,Retention outreach,No purchase for 146 days,High,1029.83
15736,Customer 15736,Retention outreach,No purchase for 435 days,High,1028.4
13791,Customer 13791,Retention outreach,No purchase for 128 days,High,1024.97
17241,Customer 17241,Retention outreach,No purchase for 385 days,High,1022.1
15797,Customer 15797,Retention outreach,No purchase for 113 days,High,1021.48
15734,Customer 15734,Retention outreach,No purchase for 115 days,High,1019.91
14938,Customer 14938,Retention outreach,No purchase for 562 days,High,1018.67
15100,Customer 15100,Retention outreach,No purchase for 334 days,High,1018.28
14195,Customer 14195,Retention outreach,No purchase for 202 days,High,1017.18
17032,Customer 17032,Retention outreach,No purchase for 548 days,High,1016.4
13151,Customer 13151,Retention outreach,No purchase for 296 days,High,1014.81
14590,Customer 14590,Retention outreach,No purchase for 425 days,High,1012.92
18026,Customer 18026,Retention outreach,No purchase for 501 days,High,1012.22
13485,Customer 13485,Retention outreach,No purchase for 233 days,High,1011.64
15151,Customer 15151,Retention outreach,No purchase for 423 days,High,1009.86
13370,Customer 13370,Retention outreach,No purchase for 372 days,High,1002.21
14246,Customer 14246,Retention outreach,No purchase for 111 days,High,996.61
14745,Customer 14745,Retention outreach,No purchase for 113 days,High,995.45
17505,Customer 17505,Retention outreach,No purchase for 162 days,High,992.46
14867,Customer 14867,Retention outreach,No purchase for 186 days,High,991.83
16736,Customer 16736,Retention outreach,No purchase for 506 days,High,990.65
15389,Customer 15389,Retention outreach,No purchase for 172 days,High,989.88
14933,Customer 14933,Retention outreach,No purchase for 444 days,High,982.23
16755,Customer 16755,Retention outreach,No purchase for 114 days,High,979.87
12986,Customer 12986,Retention outreach,No purchase for 429 days,High,979.83
16105,Customer 16105,Retention outreach,No purchase for 249 days,High,973.98
13475,Customer 13475,Retention outreach,No purchase for 191 days,High,968.02
17822,Customer 17822,Retention outreach,No purchase for 420 days,High,963.35
16467,Customer 16467,Retention outreach,No purchase for 509 days,High,960.06
13158,Customer 13158,Retention outreach,No purchase for 95 days,High,957.42
15221,Customer 15221,Retention outreach,No purchase for 366 days,High,954.28
16163,Customer 16163,Retention outreach,No purchase for 232 days,High,953.51
13655,Customer 13655,Retention outreach,No purchase for 114 days,High,951.29
18095,Customer 18095,Retention outreach,No purchase for 313 days,High,947.89
16520,Customer 16520,Retention outreach,No purchase for 186 days,High,946.1
18202,Customer 18202,Retention outreach,No purchase for 200 days,High,944.5
17814,Customer 17814,Retention outreach,No purchase for 375 days,High,944.18
14431,Customer 14431,Retention outreach,No purchase for 303 days,High,938.32
17550,Customer 17550,Retention outreach,No purchase for 197 days,High,937.6
13572,Customer 13572,Retention outreach,No purchase for 206 days,High,935.89
16529,Customer 16529,Retention outreach,No purchase for 190 days,High,935.69
16335,Customer 16335,Retention outreach,No purchase for 552 days,High,930.74
13888,Customer 13888,Retention outreach,No purchase for 120 days,High,929.92
16032,Customer 16032,Retention outreach,No purchase for 456 days,High,928.61
16317,Customer 16317,Retention outreach,No purchase for 120 days,High,925.52
14573,Customer 14573,Retention outreach,No purchase for 180 days,High,923.46
17994,Customer 17994,Retention outreach,No purchase for 122 days,High,919.91
13192,Customer 13192,Retention outreach,No purchase for 95 days,High,919.69
13059,Customer 13059,Retention outreach,No purchase for 250 days,High,918.83
16174,Customer 16174,Retention outreach,No purchase for 126 days,High,918.58
12629,Customer 12629,Retention outreach,No purchase for 386 days,High,907.53
16077,Customer 16077,Retention outreach,No purchase for 626 days,High,907.46
16172,Customer 16172,Retention outreach,No purchase for 95 days,High,905.41
13554,Customer 13554,Retention outreach,No purchase for 380 days,High,905.07
16290,Customer 16290,Retention outreach,No purchase for 465 days,High,902.83
16795,Customer 16795,Retention outreach,No purchase for 365 days,High,899.83
15946,Customer 15946,Retention outreach,No purchase for 503 days,High,897.49
15146,Customer 15146,Retention outreach,No purchase for 165 days,High,897.29
14634,Customer 14634,Retention outreach,No purchase for 438 days,High,896.79
13371,Customer 13371,Retention outreach,No purchase for 505 days,High,896.36
13280,Customer 13280,Retention outreach,No purchase for 122 days,High,889.24
14973,Customer 14973,Retention outreach,No purchase for 107 days,High,888.7
18258,Customer 18258,Retention outreach,No purchase for 464 days,High,887.65
13328,Customer 13328,Retention outreach,No purchase for 316 days,High,884.66
14548,Customer 14548,Retention outreach,No purchase for 151 days,High,883.99
13819,Customer 13819,Retention outreach,No purchase for 302 days,High,882.97
15813,Customer 15813,Retention outreach,No purchase for 208 days,High,881.57
16147,Customer 16147,Retention outreach,No purchase for 134 days,High,880.24
15108,Customer 15108,Retention outreach,No purchase for 142 days,High,879.1
14256,Customer 14256,Retention outreach,No purchase for 260 days,High,879.05
13506,Customer 13506,Retention outreach,No purchase for 316 days,High,878.07
14564,Customer 14564,Retention outreach,No purchase for 435 days,High,874.25
15248,Customer 15248,Retention outreach,No purchase for 411 days,High,874.2
13762,Customer 13762,Retention outreach,No purchase for 219 days,High,873.49
15171,Customer 15171,Retention outreach,No purchase for 331 days,High,871.83
12733,Customer 12733,Retention outreach,No purchase for 234 days,High,867.84
16951,Customer 16951,Retention outreach,No purchase for 135 days,High,863.89
14899,Customer 14899,Retention outreach,No purchase for 395 days,High,863.61
17341,Customer 17341,Retention outreach,No purchase for 157 days,High,862.63
14224,Customer 14224,Retention outreach,No purchase for 110 days,High,859.96
13492,Customer 13492,Retention outreach,No purchase for 136 days,High,858.54
13338,Customer 13338,Retention outreach,No purchase for 158 days,High,857.86
15133,Customer 15133,Retention outreach,No purchase for 128 days,High,856.44
15261,Customer 15261,Retention outreach,No purchase for 135 days,High,856.08
16842,Customer 16842,Retention outreach,No purchase for 101 days,High,854.72
17465,Customer 17465,Retention outreach,No purchase for 426 days,High,852.01
16980,Customer 16980,Retention outreach,No purchase for 255 days,High,848.09
14885,Customer 14885,Retention outreach,No purchase for 132 days,High,846.88
12978,Customer 12978,Retention outreach,No purchase for 385 days,High,846.66
14988,Customer 14988,Retention outreach,No purchase for 212 days,High,846.33
12582,Customer 12582,Retention outreach,No purchase for 239 days,High,846.11
15384,Customer 15384,Retention outreach,No purchase for 170 days,High,844.44
16054,Customer 16054,Retention outreach,No purchase for 145 days,High,843.88
15310,Customer 15310,Retention outreach,No purchase for 479 days,High,842.73
15004,Customer 15004,Retention outreach,No purchase for 147 days,High,842.64
14481,Customer 14481,Retention outreach,No purchase for 165 days,High,841.9
13414,Customer 13414,Retention outreach,No purchase for 134 days,High,841.41
16716,Customer 16716,Retention outreach,No purchase for 267 days,High,841.29
14802,Customer 14802,Retention outreach,No purchase for 438 days,High,839.71
13407,Customer 13407,Retention outreach,No purchase for 579 days,High,837.34
16202,Customer 16202,Retention outreach,No purchase for 361 days,High,837.2
13665,Customer 13665,Retention outreach,No purchase for 386 days,High,837.0
16993,Customer 16993,Retention outreach,No purchase for 464 days,High,834.97
14006,Customer 14006,Retention outreach,No purchase for 116 days,High,830.71
16275,Customer 16275,Retention outreach,No purchase for 197 days,High,827.42
15074,Customer 15074,Retention outreach,No purchase for 105 days,High,826.49
15623,Customer 15623,Retention outreach,No purchase for 141 days,High,824.41
17649,Customer 17649,Retention outreach,No purchase for 138 days,High,824.31
17113,Customer 17113,Retention outreach,No purchase for 574 days,High,821.71
15077,Customer 15077,Retention outreach,No purchase for 495 days,High,820.25
15638,Customer 15638,Retention outreach,No purchase for 379 days,High,820.21
12591,Customer 12591,Retention outreach,No purchase for 317 days,High,816.4
16176,Customer 16176,Retention outreach,No purchase for 421 days,High,816.27
18009,Customer 18009,Retention outreach,No purchase for 235 days,High,815.27
13085,Customer 13085,Retention outreach,No purchase for 158 days,High,813.11
12649,Customer 12649,Retention outreach,No purchase for 107 days,High,812.99
17305,Customer 17305,Retention outreach,No purchase for 649 days,High,812.54
15658,Customer 15658,Retention outreach,No purchase for 190 days,High,812.03
13478,Customer 13478,Retention outreach,No purchase for 469 days,High,807.04
15574,Customer 15574,Retention outreach,No purchase for 178 days,High,806.53
15015,Customer 15015,Retention outreach,No purchase for 501 days,High,804.45
16807,Customer 16807,Retention outreach,No purchase for 143 days,High,804.42
12693,Customer 12693,Retention outreach,No purchase for 127 days,High,804.12
16883,Customer 16883,Retention outreach,No purchase for 187 days,High,804.11
16175,Customer 16175,Retention outreach,No purchase for 94 days,High,804.08
17460,Customer 17460,Retention outreach,No purchase for 94 days,High,800.96
15381,Customer 15381,Retention outreach,No purchase for 214 days,High,799.43
17039,Customer 17039,Retention outreach,No purchase for 604 days,High,797.98
14472,Customer 14472,Retention outreach,No purchase for 104 days,High,797.46
17969,Customer 17969,Retention outreach,No purchase for 166 days,High,797.34
15876,Customer 15876,Retention outreach,No purchase for 409 days,High,797.01
16501,Customer 16501,Retention outreach,No purchase for 383 days,High,795.65
17029,Customer 17029,Retention outreach,No purchase for 111 days,High,794.87
13270,Customer 13270,Retention outreach,No purchase for 366 days,High,793.99
18214,Customer 18214,Retention outreach,No purchase for 531 days,High,792.16
12418,Customer 12418,Retention outreach,No purchase for 113 days,High,791.01
13476,Customer 13476,Retention outreach,No purchase for 179 days,High,789.26
14276,Customer 14276,Retention outreach,No purchase for 99 days,High,785.55
13649,Customer 13649,Retention outreach,No purchase for 257 days,High,785.21
13239,Customer 13239,Retention outreach,No purchase for 262 days,High,782.9
16331,Customer 16331,Retention outreach,No purchase for 432 days,High,782.58
